edge_precision,edge_recall,edge_f1,partial_error,n_edges,radial_change
2.264150943396226467e-01,7.500000000000000000e-01,3.478260869565217850e-01,5.377760320632274382e-01,5.300000000000000000e+01,4.588314813373746692e-01
8.000000000000000444e-01,7.500000000000000000e-01,7.741935483870968637e-01,2.013148826630770938e-01,1.500000000000000000e+01,7.710210546769567796e-02
8.571428571428570953e-01,7.500000000000000000e-01,7.999999999999999334e-01,2.097411569958979594e-01,1.400000000000000000e+01,1.273927974697783783e-15
