method,life_bin,mean_risk,alert_rate,n_windows
Empirical PCA,0.0-0.2,0.011339861449947563,0.03423236514522822,964
Empirical PCA,0.2-0.4,0.013050419422282937,0.05061224489795919,1225
Empirical PCA,0.4-0.6,0.018491580102749476,0.10064935064935066,1232
Empirical PCA,0.6-0.8,0.037967349202693595,0.2534864643150123,1219
Empirical PCA,0.8-1.0,0.1418663398707042,0.7751141552511416,876
DRO-PCA,0.0-0.2,0.011339861449947563,0.03423236514522822,964
DRO-PCA,0.2-0.4,0.013050419422282937,0.05061224489795919,1225
DRO-PCA,0.4-0.6,0.018491580102749473,0.10064935064935066,1232
DRO-PCA,0.6-0.8,0.037967349202693595,0.2534864643150123,1219
DRO-PCA,0.8-1.0,0.14186633987070418,0.7751141552511416,876
