window,regime,empirical_risk,empirical_threshold,empirical_normalized,empirical_alert,dro_risk,dro_threshold,dro_normalized,dro_alert
1,nominal,11.740943681741655,12.817439537617497,0.9160131902540699,0,15.845745930847244,20.373066000727455,0.7777791487192671,0
2,nominal,11.569195566980596,12.817439537617497,0.9026136252116915,0,17.267207303580562,20.373066000727455,0.8475507468028626,0
3,nominal,10.91183479511989,12.817439537617497,0.8513271908242744,0,17.490772792771388,20.373066000727455,0.8585243277642575,0
4,nominal,11.691408910035559,12.817439537617497,0.9121485516450312,0,18.135974470092258,20.373066000727455,0.890193673816434,0
5,nominal,11.195228827662083,12.817439537617497,0.8734372254930917,0,18.240995460325472,20.373066000727455,0.895348567548652,0
6,nominal,11.136379061219467,12.817439537617497,0.8688458430824394,0,16.30751407609364,20.373066000727455,0.8004447673959016,0
7,nominal,11.493313630830002,12.817439537617497,0.8966934150224497,0,16.985793216833134,20.373066000727455,0.8337377013467991,0
8,nominal,10.011136489020176,12.817439537617497,0.781055877785794,0,18.033936971370757,20.373066000727455,0.8851852230158594,0
9,nominal,11.523526542172586,12.817439537617497,0.8990505871592024,0,17.087970372568,20.373066000727455,0.8387530071299945,0
10,nominal,11.665106951488095,12.817439537617497,0.9100965069702527,0,20.030884732120928,20.373066000727455,0.9832042330499342,0
11,nominal,10.755352698233184,12.817439537617497,0.8391186606862969,0,17.589513712436148,20.373066000727455,0.8633709679146028,0
12,nominal,11.749401613451585,12.817439537617497,0.9166730671105284,0,18.297231711194886,20.373066000727455,0.8981088909514922,0
13,geometry_aligned,19.35523595346594,12.817439537617497,1.5100703925039685,1,13.418779781031816,20.373066000727455,0.6586529381759562,0
14,geometry_aligned,20.803831229884597,12.817439537617497,1.62308791618077,1,14.899287651319565,20.373066000727455,0.7313227989732896,0
15,geometry_aligned,19.890234167932647,12.817439537617497,1.5518102589489444,1,14.304879357157414,20.373066000727455,0.7021466163535048,0
16,geometry_aligned,21.856497375901846,12.817439537617497,1.70521556288648,1,15.059407544398336,20.373066000727455,0.7391821900474193,0
17,geometry_aligned,18.822532610493848,12.817439537617497,1.4685095689550314,1,15.30985653127242,20.373066000727455,0.7514753317309115,0
18,geometry_aligned,22.8356577429745,12.817439537617497,1.7816083841047077,1,15.172561513317328,20.373066000727455,0.7447362862700964,0
19,geometry_aligned,21.05436991241627,12.817439537617497,1.642634619076959,1,16.617764877523065,20.373066000727455,0.8156732460852824,0
20,geometry_aligned,22.366060360867106,12.817439537617497,1.7449710057321248,1,14.757062429491238,20.373066000727455,0.7243417573459151,0
21,geometry_aligned,24.505516890771858,12.817439537617497,1.9118886279004004,1,15.692867318471865,20.373066000727455,0.7702751916629301,0
22,geometry_aligned,21.285724936292944,12.817439537617497,1.6606846378188205,1,16.258473698721158,20.373066000727455,0.7980376492247471,0
23,geometry_aligned,24.48988908948312,12.817439537617497,1.9106693671234822,1,15.802067809891525,20.373066000727455,0.7756352337604603,0
24,geometry_aligned,21.805926729899806,12.817439537617497,1.7012701067090883,1,14.950946381002415,20.373066000727455,0.7338584374324693,0
25,off_geometry,23.965927378046512,12.817439537617497,1.869790554323246,1,25.809853943577036,20.373066000727455,1.2668615486081207,1
26,off_geometry,24.35027535925463,12.817439537617497,1.899776885062713,1,26.907037887643877,20.373066000727455,1.3207161792281592,1
27,off_geometry,28.23420473009917,12.817439537617497,2.2027960145421788,1,30.457152462954763,20.373066000727455,1.4949714717395624,1
28,off_geometry,26.098361593187906,12.817439537617497,2.0361603046062866,1,30.019416353308124,20.373066000727455,1.4734854514404572,1
29,off_geometry,23.87837480732121,12.817439537617497,1.8629598163690435,1,26.584191185220526,20.373066000727455,1.3048694381234172,1
30,off_geometry,28.262152373297397,12.817439537617497,2.204976453397865,1,32.056226870808736,20.373066000727455,1.5734611015182551,1
31,off_geometry,23.008213244853373,12.817439537617497,1.795070940442301,1,26.04602789175583,20.373066000727455,1.2784540083866518,1
32,off_geometry,25.043047654863656,12.817439537617497,1.9538260805807282,1,26.36675491414919,20.373066000727455,1.2941967062398816,1
33,off_geometry,20.46887446292717,12.817439537617497,1.5969550238839607,1,23.303420585675543,20.373066000727455,1.1438347367472061,1
34,off_geometry,26.44803449306185,12.817439537617497,2.063441330496653,1,27.952184921917922,20.373066000727455,1.3720166086400467,1
35,off_geometry,26.981758262491315,12.817439537617497,2.105081766393624,1,29.499000421953458,20.373066000727455,1.4479411405676565,1
36,off_geometry,25.60402596271474,12.817439537617497,1.9975928801981313,1,28.26358196363813,20.373066000727455,1.3873013498620645,1
